I	87388	87500	+
I	139188	139218	+
I	142254	142619	+
I	151007	151096	-
I	181179	181210	+
II	4117	4215	-
II	36435	36452	+
II	47059	47146	-
II	60194	60697	-
II	110421	110505	-
II	110880	110948	+
II	125155	125270	+
II	142750	142846	-
II	168425	168808	+
II	170677	170804	+
II	186353	186427	-
II	332876	333386	+
II	366503	366584	-
II	393181	393510	+
II	407028	407122	-
II	414754	415259	-
II	426517	426873	-
II	462210	462289	+
II	462430	462499	+
II	479346	479434	+
II	592417	592768	-
II	602104	602216	+
II	604515	604927	+
II	606281	606668	+
II	653369	653452	+
II	662582	663002	-
II	679943	680039	-
II	726918	727011	-
III	90897	90928	+
III	101634	101700	-
III	107034	107110	+
III	107192	107287	+
III	111558	111633	-
III	173116	173198	-
III	177907	178213	-
III	227979	227997	+
III	293940	293993	+
III	294240	294291	+
IV	65307	65377	+
IV	117667	118157	+
IV	217603	218007	+
IV	230020	230320	+
IV	239399	239509	-
IV	254975	255044	-
IV	267726	267806	+
IV	307334	307765	-
IV	308428	308792	+
IV	314045	314336	-
IV	322283	322703	+
IV	337525	337634	+
IV	359614	359636	+
IV	399362	399484	+
IV	431387	431472	-
IV	458018	458097	-
IV	491560	491898	+
IV	569634	569723	-
IV	579479	580017	+
IV	629906	630173	+
IV	715248	715358	-
IV	733703	733775	-
IV	884398	884457	+
IV	946351	946364	+
IV	1073313	1073401	-
IV	1095406	1095424	-
IV	1103810	1103892	+
IV	1212878	1212978	+
IV	1236843	1237608	+
IV	1238631	1238824	-
IV	1266770	1266861	-
IV	1319618	1319697	-
IV	1319721	1319816	-
IV	1355237	1355550	-
IV	1359970	1360404	+
IV	1401801	1402184	+
IV	1450458	1450846	-
IV	1461759	1461791	-
IV	1507059	1507314	-
V	4323	4601	-
V	131777	131899	+
V	148195	148282	+
V	158995	159087	-
V	166772	166874	-
V	184170	184677	-
V	239624	239711	-
V	269752	270148	-
V	306326	306791	+
V	307747	307848	+
V	307957	308067	+
V	348202	348276	-
V	396811	397281	+
V	432672	433196	+
V	548553	548644	+
VI	54378	54686	-
VI	63860	63973	-
VI	64600	64920	-
VI	75840	76091	+
VI	101412	101442	+
VI	157952	157970	-
VI	167476	167489	+
VI	191558	191576	-
VI	203293	203386	-
VI	210655	210668	-
VI	221268	221414	-
VI	242010	242081	+
VII	31427	31578	-
VII	62132	62189	+
VII	72989	73137	-
VII	115525	115547	+
VII	157200	157282	-
VII	167355	167994	+
VII	205559	205590	+
VII	249887	250086	+
VII	287386	287419	-
VII	311016	311526	+
VII	346809	346893	-
VII	364965	365432	-
VII	365527	365985	-
VII	423130	423161	+
VII	435680	435749	+
VII	436313	436374	+
VII	439094	439323	+
VII	440752	440770	-
VII	497366	497458	-
VII	497938	497999	-
VII	543639	543721	+
VII	555831	556307	+
VII	700989	701011	-
VII	727039	727357	+
VII	857422	857453	-
VII	859261	859473	-
VII	878746	878779	-
VII	920665	921119	+
VII	946328	946420	+
VII	1084883	1085030	+
VIII	1898	2670	-
VIII	104406	104803	+
VIII	107832	107894	+
VIII	126552	127112	+
VIII	129529	129647	+
VIII	138241	138408	-
VIII	148117	148666	-
VIII	187515	187676	-
VIII	189750	189850	-
VIII	237884	237902	-
VIII	251156	251248	+
VIII	255638	255750	-
VIII	262355	262440	-
VIII	298361	298484	-
VIII	315772	315858	-
VIII	354865	354955	+
VIII	358514	358532	-
VIII	382307	382747	-
VIII	388929	388959	-
VIII	498720	498786	-
VIII	505248	505516	-
VIII	558616	558714	+
IX	4599	4986	-
IX	47699	47760	+
IX	68716	69149	+
IX	99096	99385	-
IX	166435	166519	+
IX	225810	225899	-
IX	231958	232366	-
IX	256555	257026	-
IX	316772	317171	+
IX	335936	335936	-
IX	348364	348494	-
X	4582	4969	-
X	50269	50411	-
X	73797	74204	+
X	75939	76324	+
X	91095	91411	+
X	156790	157249	-
X	354283	354296	+
X	387349	387435	-
X	396494	396570	-
X	415967	416000	-
X	435228	435343	+
X	469184	469263	-
X	542992	543005	-
X	580348	581052	+
X	608307	608581	+
X	617957	617975	+
X	637810	637858	+
X	702799	703054	-
XI	82999	83074	+
XI	109578	109883	+
XI	155272	155654	+
XI	158616	158966	+
XI	283096	283421	+
XI	302954	302987	+
XI	430456	430596	-
XI	432035	432432	+
XI	437838	437905	+
XI	447707	447810	-
XI	449952	450020	-
XI	458595	458626	+
XI	551681	552002	+
XI	579002	579024	+
XI	618375	618742	-
XI	625902	625976	+
XII	3916	4014	-
XII	9451	9549	-
XII	40222	40400	-
XII	92584	92614	+
XII	242322	242680	+
XII	250861	250947	-
XII	263206	263594	+
XII	286468	286556	-
XII	327259	327399	-
XII	398533	398626	+
XII	455182	455413	-
XII	455572	455932	-
XII	464319	464550	-
XII	464709	465069	-
XII	522670	523028	+
XII	548678	548763	-
XII	550459	550574	-
XII	564455	564513	-
XII	592563	592581	-
XII	605336	605395	-
XII	628421	628453	+
XII	694383	694472	+
XII	712726	713155	-
XII	732128	732146	+
XII	744154	744287	+
XII	766074	766129	-
XII	766182	766249	-
XII	784390	784409	+
XII	786616	786712	+
XII	819331	819777	+
XII	856575	857057	+
XII	875413	875435	+
XII	931350	931698	-
XII	987142	987212	+
XII	1024573	1024654	+
XII	1028869	1029252	+
XII	1067085	1067363	+
XIII	3792	3890	-
XIII	23361	23658	-
XIII	82291	82373	+
XIII	99260	99375	-
XIII	123743	124157	-
XIII	140091	140183	-
XIII	163309	163716	-
XIII	168834	168847	+
XIII	196104	196134	-
XIII	206098	206203	+
XIII	211445	211570	+
XIII	223381	223781	-
XIII	225240	225338	-
XIII	225892	226289	+
XIII	236592	236953	+
XIII	337818	337903	+
XIII	352317	352334	+
XIII	379339	379372	-
XIII	424998	425153	+
XIII	499879	500151	-
XIII	504933	504964	+
XIII	517564	517885	+
XIII	537449	537564	+
XIII	550802	551203	-
XIII	551952	552495	+
XIII	651161	651623	+
XIII	652776	652847	-
XIII	666934	667017	-
XIII	721199	721345	-
XIII	732466	732875	+
XIII	837967	837980	+
XIII	854817	854898	+
XIV	5932	6079	-
XIV	48294	48401	+
XIV	62373	62923	-
XIV	64019	64450	-
XIV	145150	145254	-
XIV	185492	185586	+
XIV	331326	331837	+
XIV	350958	351053	+
XIV	366036	366157	+
XIV	374906	374923	+
XIV	380690	380781	-
XIV	414912	415913	+
XIV	443044	443075	+
XIV	443827	444171	-
XIV	494525	494973	-
XIV	534875	534965	-
XIV	545292	545370	+
XIV	547130	547160	+
XIV	557611	557684	+
XIV	568151	568181	+
XIV	609791	609874	+
XIV	622945	623286	+
XIV	721771	722302	-
XV	80361	80774	+
XV	92441	92830	-
XV	93844	94290	-
XV	240948	241025	-
XV	242442	242504	-
XV	274710	274728	+
XV	288231	288244	+
XV	301133	301162	+
XV	438680	438702	+
XV	464486	464515	+
XV	505938	506338	+
XV	552666	552874	-
XV	678380	678790	-
XV	778860	779386	-
XV	780121	780277	+
XV	785688	785688	+
XV	867150	867586	+
XV	912086	912432	-
XV	980719	980751	+
XVI	5841	5988	-
XVI	56205	56238	-
XVI	75986	76223	-
XVI	96154	96233	-
XVI	138726	138864	+
XVI	173163	173571	+
XVI	173666	174072	+
XVI	218647	218746	+
XVI	281374	281503	-
XVI	282141	282665	+
XVI	305307	305411	+
XVI	345445	345596	-
XVI	377996	378389	-
XVI	404957	405457	+
XVI	406647	407067	+
XVI	412262	413012	+
XVI	459006	459006	+
XVI	492919	493020	-
XVI	560234	560252	-
XVI	582559	582701	-
XVI	622576	622594	-
XVI	623578	623710	+
XVI	654168	654570	+
XVI	678194	678279	-
XVI	729386	729481	-
XVI	769243	769265	-
XVI	795030	795394	+
XVI	833694	833827	+
XVI	883388	883486	+
XVI	911277	911352	+
XVI	943051	943198	+
Mito	13987	16434	+
Mito	16471	18953	+
Mito	18992	20507	+
Mito	20985	21994	+
Mito	22247	23611	+
Mito	23747	25317	+
Mito	24871	24905	+
Mito	25343	26228	+
Mito	36955	37722	+
Mito	37737	39140	+
Mito	39218	40840	+
Mito	41091	42507	+
Mito	42559	43296	+
Mito	60725	61867	+
Mito	75623	75662	+
Mito	75873	75903	+
