7507
334	648	1	6986	6986
537	791	1	7017	7017
1806	2168	2	7056	7056
2479	2706	1	7042	7042
7234	9015	2	7014	7014
10090	10398	1	7003	7003
11564	11950	2	7025	7025
12045	12425	1	6954	6954
13362	13742	2	7065	7065
21565	21849	1	7007	7007
22394	22684	2	6964	6964
23999	27967	2	6987	6987
31566	32939	1	6968	6968
33447	34700	1	7035	7035
35154	36302	1	6983	6983
36495	36917	2	7031	7031
36508	37146	1	7015	7015
37463	38971	1	7063	7063
38695	39045	2	6957	6957
39258	41900	1	7002	7002
42176	42718	1	6982	6982
42880	45021	2	7013	7013
45898	48249	1	6949	6949
48563	51706	1	7058	7058
51854	52594	2	7043	7043
52800	54788	2	6959	6959
54583	54912	1	7005	7005
54988	56856	2	7045	7045
57028	57384	2	6988	6988
57487	57795	2	6978	6978
57517	57849	1	7052	7052
57949	58461	2	7061	7061
58694	61051	2	7059	7059
61230	61607	2	7024	7024
61315	62562	1	6975	6975
62839	65403	1	7053	7053
65777	67519	2	7069	7069
68715	69524	2	6996	6996
71785	73287	1	6976	6976
72325	73299	2	7028	7028
73425	73517	2	6956	6956
74019	74822	1	6946	6946
75042	76151	2	7030	7030
76426	79434	1	7018	7018
79488	79841	2	6972	6972
79717	80586	1	6953	6953
80709	81950	2	7037	7037
82705	83226	1	7050	7050
83334	84473	2	7021	7021
84668	84976	1	6950	6950
84748	87030	2	6962	6962
87285	87386	1	6980	6980
87500	87751	1	6980	6980
87854	92269	2	7046	7046
92899	94485	1	7023	7023
94686	95471	1	7048	7048
95385	95822	2	7038	7038
95629	99696	2	6970	6970
99304	99867	1	7067	7067
100224	101144	2	6960	6960
101564	105871	2	6952	6952
106271	108550	2	6967	6967
108876	110429	2	6999	6999
110845	113358	2	7033	7033
113613	114614	2	7020	7020
114249	114818	1	7054	7054
114918	118313	1	6951	6951
118563	119540	2	6955	6955
120224	124294	1	6984	6984
124306	124491	2	6992	6992
124754	125068	2	7006	7006
124878	126785	1	6947	6947
126902	128101	2	7022	7022
128251	129018	2	6971	6971
129269	130486	1	7004	7004
130798	131982	1	7064	7064
132198	134075	1	7000	7000
134183	135664	2	6974	6974
135853	136632	1	7026	7026
136913	137509	1	7019	7019
137697	138344	2	7068	7068
139151	139186	1	6965	6965
139218	139253	1	6965	6965
139502	141430	2	7016	7016
140759	141406	1	7040	7040
142173	142252	1	6948	6948
142366	142467	1	6990	6990
142619	143159	1	6948	6948
143706	147530	1	7032	7032
147593	151005	2	7001	7001
151096	151165	2	7001	7001
152256	153875	1	6995	6995
154064	154723	2	7039	7039
155004	156284	1	6977	6977
156753	158618	2	6979	6979
158965	159792	1	7041	7041
160596	164186	2	7071	7071
164543	165865	2	7070	7070
166266	166338	1	6966	6966
166741	168870	2	7027	7027
169374	170294	1	7051	7051
170395	171702	2	6985	6985
172210	175134	2	6993	6993
174997	175329	1	7011	7011
176855	177022	2	6989	6989
179280	179819	2	7036	7036
181140	181177	1	6958	6958
181210	181253	1	6958	6958
182521	182602	2	7034	7034
183769	184476	1	6981	6981
184891	185595	1	7066	7066
186320	186544	1	6994	6994
186511	186852	2	6997	6997
186835	187731	1	7047	7047
188106	188810	1	7009	7009
190192	192255	1	6973	6973
192336	192416	2	7055	7055
192618	196184	1	7057	7057
201466	201786	2	6998	6998
203402	208015	1	6991	6991
208366	208662	1	7029	7029
217156	217491	2	7044	7044
218139	219144	1	6969	6969
220197	220496	1	6961	6961
221048	221659	1	7060	7060
222405	222890	1	7062	7062
224010	224303	2	7010	7010
224562	224861	2	7012	7012
225459	226862	1	7008	7008
227741	228952	1	7049	7049
228843	229316	1	6963	6963
262423	264801	2	4180	4180
262789	263271	1	4245	4245
264725	265042	2	4059	4059
265050	266259	2	4103	4103
266359	267152	2	4103	4103
